"case","event","startTime","completeTime","simulated:logProbability","concept:simulated"
"7","A","2020/06/23 18:54:18.427","2020/06/23 18:54:18.427","-5.545177444479562","true"
"7","D","2020/06/23 18:55:18.427","2020/06/23 18:55:18.427","-5.545177444479562","true"
"7","F","2020/06/23 18:56:18.427","2020/06/23 18:56:18.427","-5.545177444479562","true"
"7","D","2020/06/23 18:58:18.427","2020/06/23 18:58:18.427","-5.545177444479562","true"
"7","E","2020/06/23 19:00:18.427","2020/06/23 19:00:18.427","-5.545177444479562","true"
"7","B","2020/06/23 19:01:18.427","2020/06/23 19:01:18.427","-5.545177444479562","true"
"7","A","2020/06/23 19:02:18.427","2020/06/23 19:02:18.427","-5.545177444479562","true"
"7","C","2020/06/23 19:03:18.427","2020/06/23 19:03:18.427","-5.545177444479562","true"
"7","F","2020/06/23 19:05:18.427","2020/06/23 19:05:18.427","-5.545177444479562","true"
"8","D","2020/06/23 18:53:08.882","2020/06/23 18:53:08.882","-1.3862943611198906","true"
"8","E","2020/06/23 18:54:08.882","2020/06/23 18:54:08.882","-1.3862943611198906","true"
"8","A","2020/06/23 18:55:08.882","2020/06/23 18:55:08.882","-1.3862943611198906","true"
"8","D","2020/06/23 18:56:08.882","2020/06/23 18:56:08.882","-1.3862943611198906","true"
"8","B","2020/06/23 18:57:08.882","2020/06/23 18:57:08.882","-1.3862943611198906","true"
"9","D","2020/06/23 18:55:30.944","2020/06/23 18:55:30.944","-1.3862943611198906","true"
"9","E","2020/06/23 18:56:30.944","2020/06/23 18:56:30.944","-1.3862943611198906","true"
"9","A","2020/06/23 18:57:30.944","2020/06/23 18:57:30.944","-1.3862943611198906","true"
"9","D","2020/06/23 18:58:30.944","2020/06/23 18:58:30.944","-1.3862943611198906","true"
"9","B","2020/06/23 18:59:30.944","2020/06/23 18:59:30.944","-1.3862943611198906","true"
"10","D","2020/06/23 18:57:38.242","2020/06/23 18:57:38.242","-1.3862943611198906","true"
"10","E","2020/06/23 18:58:38.242","2020/06/23 18:58:38.242","-1.3862943611198906","true"
"10","A","2020/06/23 18:59:38.242","2020/06/23 18:59:38.242","-1.3862943611198906","true"
"10","D","2020/06/23 19:00:38.242","2020/06/23 19:00:38.242","-1.3862943611198906","true"
"10","B","2020/06/23 19:01:38.242","2020/06/23 19:01:38.242","-1.3862943611198906","true"
"11","A","2020/06/23 18:58:38.262","2020/06/23 18:58:38.262","-5.545177444479562","true"
"11","F","2020/06/23 18:59:38.262","2020/06/23 18:59:38.262","-5.545177444479562","true"
"11","D","2020/06/23 19:00:38.262","2020/06/23 19:00:38.262","-5.545177444479562","true"
"11","F","2020/06/23 19:01:38.262","2020/06/23 19:01:38.262","-5.545177444479562","true"
"11","D","2020/06/23 19:03:38.262","2020/06/23 19:03:38.262","-5.545177444479562","true"
"11","B","2020/06/23 19:05:38.262","2020/06/23 19:05:38.262","-5.545177444479562","true"
"11","E","2020/06/23 19:06:38.262","2020/06/23 19:06:38.262","-5.545177444479562","true"
"11","C","2020/06/23 19:07:38.262","2020/06/23 19:07:38.262","-5.545177444479562","true"
"11","A","2020/06/23 19:08:38.262","2020/06/23 19:08:38.262","-5.545177444479562","true"
"11","F","2020/06/23 19:10:38.262","2020/06/23 19:10:38.262","-5.545177444479562","true"
"12","A","2020/06/23 18:58:38.843","2020/06/23 18:58:38.843","-5.545177444479562","true"
"12","F","2020/06/23 18:59:38.843","2020/06/23 18:59:38.843","-5.545177444479562","true"
"12","D","2020/06/23 19:00:38.843","2020/06/23 19:00:38.843","-5.545177444479562","true"
"12","F","2020/06/23 19:01:38.843","2020/06/23 19:01:38.843","-5.545177444479562","true"
"12","D","2020/06/23 19:03:38.843","2020/06/23 19:03:38.843","-5.545177444479562","true"
"12","E","2020/06/23 19:05:38.843","2020/06/23 19:05:38.843","-5.545177444479562","true"
"12","B","2020/06/23 19:06:38.843","2020/06/23 19:06:38.843","-5.545177444479562","true"
"12","A","2020/06/23 19:07:38.843","2020/06/23 19:07:38.843","-5.545177444479562","true"
"12","C","2020/06/23 19:08:38.843","2020/06/23 19:08:38.843","-5.545177444479562","true"
"12","F","2020/06/23 19:10:38.843","2020/06/23 19:10:38.843","-5.545177444479562","true"
"13","B","2020/06/23 18:58:33.244","2020/06/23 18:58:33.244","-1.3862943611198906","true"
"13","D","2020/06/23 18:59:33.244","2020/06/23 18:59:33.244","-1.3862943611198906","true"
"13","B","2020/06/23 19:00:33.244","2020/06/23 19:00:33.244","-1.3862943611198906","true"
"14","D","2020/06/23 19:01:03.178","2020/06/23 19:01:03.178","-1.3862943611198906","true"
"14","E","2020/06/23 19:02:03.178","2020/06/23 19:02:03.178","-1.3862943611198906","true"
"14","A","2020/06/23 19:03:03.178","2020/06/23 19:03:03.178","-1.3862943611198906","true"
"14","D","2020/06/23 19:04:03.178","2020/06/23 19:04:03.178","-1.3862943611198906","true"
"14","B","2020/06/23 19:05:03.178","2020/06/23 19:05:03.178","-1.3862943611198906","true"
"15","B","2020/06/23 19:02:35.046","2020/06/23 19:02:35.046","-1.3862943611198906","true"
"15","D","2020/06/23 19:03:35.046","2020/06/23 19:03:35.046","-1.3862943611198906","true"
"15","B","2020/06/23 19:04:35.046","2020/06/23 19:04:35.046","-1.3862943611198906","true"
"16","D","2020/06/23 19:02:55.979","2020/06/23 19:02:55.979","-1.3862943611198906","true"
"16","E","2020/06/23 19:03:55.979","2020/06/23 19:03:55.979","-1.3862943611198906","true"
"16","A","2020/06/23 19:04:55.979","2020/06/23 19:04:55.979","-1.3862943611198906","true"
"16","D","2020/06/23 19:05:55.979","2020/06/23 19:05:55.979","-1.3862943611198906","true"
"16","B","2020/06/23 19:06:55.979","2020/06/23 19:06:55.979","-1.3862943611198906","true"
"17","D","2020/06/23 19:03:11.199","2020/06/23 19:03:11.199","-1.3862943611198906","true"
"17","E","2020/06/23 19:04:11.199","2020/06/23 19:04:11.199","-1.3862943611198906","true"
"17","A","2020/06/23 19:05:11.199","2020/06/23 19:05:11.199","-1.3862943611198906","true"
"17","D","2020/06/23 19:06:11.199","2020/06/23 19:06:11.199","-1.3862943611198906","true"
"17","B","2020/06/23 19:07:11.199","2020/06/23 19:07:11.199","-1.3862943611198906","true"
"18","F","2020/06/23 19:04:20.229","2020/06/23 19:04:20.229","-4.1588830833596715","true"
"18","D","2020/06/23 19:05:20.229","2020/06/23 19:05:20.229","-4.1588830833596715","true"
"18","A","2020/06/23 19:06:20.229","2020/06/23 19:06:20.229","-4.1588830833596715","true"
"18","F","2020/06/23 19:07:20.229","2020/06/23 19:07:20.229","-4.1588830833596715","true"
"18","D","2020/06/23 19:09:20.229","2020/06/23 19:09:20.229","-4.1588830833596715","true"
"18","B","2020/06/23 19:11:20.229","2020/06/23 19:11:20.229","-4.1588830833596715","true"
"18","C","2020/06/23 19:12:20.229","2020/06/23 19:12:20.229","-4.1588830833596715","true"
"18","E","2020/06/23 19:13:20.229","2020/06/23 19:13:20.229","-4.1588830833596715","true"
"18","A","2020/06/23 19:14:20.229","2020/06/23 19:14:20.229","-4.1588830833596715","true"
"18","F","2020/06/23 19:16:20.229","2020/06/23 19:16:20.229","-4.1588830833596715","true"
"19","D","2020/06/23 19:04:10.535","2020/06/23 19:04:10.535","-3.4657359027997265","true"
"19","A","2020/06/23 19:06:10.535","2020/06/23 19:06:10.535","-3.4657359027997265","true"
"19","F","2020/06/23 19:07:10.535","2020/06/23 19:07:10.535","-3.4657359027997265","true"
"19","A","2020/06/23 19:09:10.535","2020/06/23 19:09:10.535","-3.4657359027997265","true"
"19","F","2020/06/23 19:10:10.535","2020/06/23 19:10:10.535","-3.4657359027997265","true"
"20","B","2020/06/23 19:07:09.588","2020/06/23 19:07:09.588","-1.3862943611198906","true"
"20","D","2020/06/23 19:08:09.588","2020/06/23 19:08:09.588","-1.3862943611198906","true"
"20","B","2020/06/23 19:09:09.588","2020/06/23 19:09:09.588","-1.3862943611198906","true"
"21","D","2020/06/23 19:09:37.309","2020/06/23 19:09:37.309","-1.3862943611198906","true"
"21","E","2020/06/23 19:10:37.309","2020/06/23 19:10:37.309","-1.3862943611198906","true"
"21","A","2020/06/23 19:11:37.309","2020/06/23 19:11:37.309","-1.3862943611198906","true"
"21","D","2020/06/23 19:12:37.309","2020/06/23 19:12:37.309","-1.3862943611198906","true"
"21","B","2020/06/23 19:13:37.309","2020/06/23 19:13:37.309","-1.3862943611198906","true"
"22","F","2020/06/23 19:10:58.974","2020/06/23 19:10:58.974","-4.852030263919617","true"
"22","A","2020/06/23 19:11:58.974","2020/06/23 19:11:58.974","-4.852030263919617","true"
"22","D","2020/06/23 19:12:58.974","2020/06/23 19:12:58.974","-4.852030263919617","true"
"22","F","2020/06/23 19:13:58.974","2020/06/23 19:13:58.974","-4.852030263919617","true"
"22","D","2020/06/23 19:15:58.974","2020/06/23 19:15:58.974","-4.852030263919617","true"
"22","E","2020/06/23 19:17:58.974","2020/06/23 19:17:58.974","-4.852030263919617","true"
"22","A","2020/06/23 19:18:58.974","2020/06/23 19:18:58.974","-4.852030263919617","true"
"22","B","2020/06/23 19:19:58.974","2020/06/23 19:19:58.974","-4.852030263919617","true"
"22","C","2020/06/23 19:20:58.974","2020/06/23 19:20:58.974","-4.852030263919617","true"
"22","F","2020/06/23 19:22:58.974","2020/06/23 19:22:58.974","-4.852030263919617","true"
"23","B","2020/06/23 19:10:30.154","2020/06/23 19:10:30.154","-1.3862943611198906","true"
"23","D","2020/06/23 19:11:30.154","2020/06/23 19:11:30.154","-1.3862943611198906","true"
"23","B","2020/06/23 19:12:30.154","2020/06/23 19:12:30.154","-1.3862943611198906","true"
"24","B","2020/06/23 19:10:30.844","2020/06/23 19:10:30.844","-1.3862943611198906","true"
"24","D","2020/06/23 19:11:30.844","2020/06/23 19:11:30.844","-1.3862943611198906","true"
"24","B","2020/06/23 19:12:30.844","2020/06/23 19:12:30.844","-1.3862943611198906","true"
"25","D","2020/06/23 19:10:42.806","2020/06/23 19:10:42.806","-1.3862943611198906","true"
"25","E","2020/06/23 19:11:42.806","2020/06/23 19:11:42.806","-1.3862943611198906","true"
"25","A","2020/06/23 19:12:42.806","2020/06/23 19:12:42.806","-1.3862943611198906","true"
"25","D","2020/06/23 19:13:42.806","2020/06/23 19:13:42.806","-1.3862943611198906","true"
"25","B","2020/06/23 19:14:42.806","2020/06/23 19:14:42.806","-1.3862943611198906","true"
"26","B","2020/06/23 19:12:40.322","2020/06/23 19:12:40.322","-1.3862943611198906","true"
"26","D","2020/06/23 19:13:40.322","2020/06/23 19:13:40.322","-1.3862943611198906","true"
"26","B","2020/06/23 19:14:40.322","2020/06/23 19:14:40.322","-1.3862943611198906","true"
"27","B","2020/06/23 19:15:44.222","2020/06/23 19:15:44.222","-1.3862943611198906","true"
"27","D","2020/06/23 19:16:44.222","2020/06/23 19:16:44.222","-1.3862943611198906","true"
"27","B","2020/06/23 19:17:44.222","2020/06/23 19:17:44.222","-1.3862943611198906","true"
"28","D","2020/06/23 19:16:23.342","2020/06/23 19:16:23.342","-1.3862943611198906","true"
"28","E","2020/06/23 19:17:23.342","2020/06/23 19:17:23.342","-1.3862943611198906","true"
"28","A","2020/06/23 19:18:23.342","2020/06/23 19:18:23.342","-1.3862943611198906","true"
"28","D","2020/06/23 19:19:23.342","2020/06/23 19:19:23.342","-1.3862943611198906","true"
"28","B","2020/06/23 19:20:23.342","2020/06/23 19:20:23.342","-1.3862943611198906","true"
"29","B","2020/06/23 19:17:24.091","2020/06/23 19:17:24.091","-1.3862943611198906","true"
"29","D","2020/06/23 19:18:24.091","2020/06/23 19:18:24.091","-1.3862943611198906","true"
"29","B","2020/06/23 19:19:24.091","2020/06/23 19:19:24.091","-1.3862943611198906","true"
"30","A","2020/06/23 19:19:38.031","2020/06/23 19:19:38.031","-4.852030263919617","true"
"30","F","2020/06/23 19:20:38.031","2020/06/23 19:20:38.031","-4.852030263919617","true"
"30","F","2020/06/23 19:21:38.031","2020/06/23 19:21:38.031","-4.852030263919617","true"
"30","D","2020/06/23 19:22:38.031","2020/06/23 19:22:38.031","-4.852030263919617","true"
"30","D","2020/06/23 19:24:38.031","2020/06/23 19:24:38.031","-4.852030263919617","true"
"30","B","2020/06/23 19:26:38.031","2020/06/23 19:26:38.031","-4.852030263919617","true"
"30","C","2020/06/23 19:27:38.031","2020/06/23 19:27:38.031","-4.852030263919617","true"
"30","E","2020/06/23 19:28:38.031","2020/06/23 19:28:38.031","-4.852030263919617","true"
"30","A","2020/06/23 19:29:38.031","2020/06/23 19:29:38.031","-4.852030263919617","true"
"30","F","2020/06/23 19:31:38.031","2020/06/23 19:31:38.031","-4.852030263919617","true"
"31","B","2020/06/23 19:20:46.966","2020/06/23 19:20:46.966","-1.3862943611198906","true"
"31","D","2020/06/23 19:21:46.966","2020/06/23 19:21:46.966","-1.3862943611198906","true"
"31","B","2020/06/23 19:22:46.966","2020/06/23 19:22:46.966","-1.3862943611198906","true"
"32","F","2020/06/23 19:21:55.211","2020/06/23 19:21:55.211","-4.852030263919617","true"
"32","D","2020/06/23 19:22:55.211","2020/06/23 19:22:55.211","-4.852030263919617","true"
"32","A","2020/06/23 19:23:55.211","2020/06/23 19:23:55.211","-4.852030263919617","true"
"32","F","2020/06/23 19:24:55.211","2020/06/23 19:24:55.211","-4.852030263919617","true"
"32","D","2020/06/23 19:26:55.211","2020/06/23 19:26:55.211","-4.852030263919617","true"
"32","E","2020/06/23 19:28:55.211","2020/06/23 19:28:55.211","-4.852030263919617","true"
"32","B","2020/06/23 19:29:55.211","2020/06/23 19:29:55.211","-4.852030263919617","true"
"32","C","2020/06/23 19:30:55.211","2020/06/23 19:30:55.211","-4.852030263919617","true"
"32","A","2020/06/23 19:31:55.211","2020/06/23 19:31:55.211","-4.852030263919617","true"
"32","F","2020/06/23 19:33:55.211","2020/06/23 19:33:55.211","-4.852030263919617","true"
"33","D","2020/06/23 19:20:59.384","2020/06/23 19:20:59.384","-1.3862943611198906","true"
"33","E","2020/06/23 19:21:59.384","2020/06/23 19:21:59.384","-1.3862943611198906","true"
"33","A","2020/06/23 19:22:59.384","2020/06/23 19:22:59.384","-1.3862943611198906","true"
"33","D","2020/06/23 19:23:59.384","2020/06/23 19:23:59.384","-1.3862943611198906","true"
"33","B","2020/06/23 19:24:59.384","2020/06/23 19:24:59.384","-1.3862943611198906","true"
"34","D","2020/06/23 19:21:02.609","2020/06/23 19:21:02.609","-1.3862943611198906","true"
"34","E","2020/06/23 19:22:02.609","2020/06/23 19:22:02.609","-1.3862943611198906","true"
"34","A","2020/06/23 19:23:02.609","2020/06/23 19:23:02.609","-1.3862943611198906","true"
"34","D","2020/06/23 19:24:02.609","2020/06/23 19:24:02.609","-1.3862943611198906","true"
"34","B","2020/06/23 19:25:02.609","2020/06/23 19:25:02.609","-1.3862943611198906","true"
"35","D","2020/06/23 19:21:20.215","2020/06/23 19:21:20.215","-3.4657359027997265","true"
"35","C","2020/06/23 19:22:20.215","2020/06/23 19:22:20.215","-3.4657359027997265","true"
"35","A","2020/06/23 19:23:20.215","2020/06/23 19:23:20.215","-3.4657359027997265","true"
"35","F","2020/06/23 19:24:20.215","2020/06/23 19:24:20.215","-3.4657359027997265","true"
"35","A","2020/06/23 19:26:20.215","2020/06/23 19:26:20.215","-3.4657359027997265","true"
"35","F","2020/06/23 19:27:20.215","2020/06/23 19:27:20.215","-3.4657359027997265","true"
"36","B","2020/06/23 19:22:13.194","2020/06/23 19:22:13.194","-1.3862943611198906","true"
"36","D","2020/06/23 19:23:13.194","2020/06/23 19:23:13.194","-1.3862943611198906","true"
"36","B","2020/06/23 19:24:13.194","2020/06/23 19:24:13.194","-1.3862943611198906","true"
"37","D","2020/06/23 19:24:03.686","2020/06/23 19:24:03.686","-1.3862943611198906","true"
"37","E","2020/06/23 19:25:03.686","2020/06/23 19:25:03.686","-1.3862943611198906","true"
"37","A","2020/06/23 19:26:03.686","2020/06/23 19:26:03.686","-1.3862943611198906","true"
"37","D","2020/06/23 19:27:03.686","2020/06/23 19:27:03.686","-1.3862943611198906","true"
"37","B","2020/06/23 19:28:03.686","2020/06/23 19:28:03.686","-1.3862943611198906","true"
"38","B","2020/06/23 19:25:39.299","2020/06/23 19:25:39.299","-1.3862943611198906","true"
"38","D","2020/06/23 19:26:39.299","2020/06/23 19:26:39.299","-1.3862943611198906","true"
"38","B","2020/06/23 19:27:39.299","2020/06/23 19:27:39.299","-1.3862943611198906","true"
"39","B","2020/06/23 19:26:25.956","2020/06/23 19:26:25.956","-1.3862943611198906","true"
"39","D","2020/06/23 19:27:25.956","2020/06/23 19:27:25.956","-1.3862943611198906","true"
"39","B","2020/06/23 19:28:25.956","2020/06/23 19:28:25.956","-1.3862943611198906","true"
"40","B","2020/06/23 19:27:37.924","2020/06/23 19:27:37.924","-1.3862943611198906","true"
"40","D","2020/06/23 19:28:37.924","2020/06/23 19:28:37.924","-1.3862943611198906","true"
"40","B","2020/06/23 19:29:37.924","2020/06/23 19:29:37.924","-1.3862943611198906","true"
"41","D","2020/06/23 19:28:45.631","2020/06/23 19:28:45.631","-2.772588722239781","true"
"41","A","2020/06/23 19:30:45.631","2020/06/23 19:30:45.631","-2.772588722239781","true"
"41","F","2020/06/23 19:31:45.631","2020/06/23 19:31:45.631","-2.772588722239781","true"
"42","B","2020/06/23 19:30:56.260","2020/06/23 19:30:56.260","-1.3862943611198906","true"
"42","D","2020/06/23 19:31:56.260","2020/06/23 19:31:56.260","-1.3862943611198906","true"
"42","B","2020/06/23 19:32:56.260","2020/06/23 19:32:56.260","-1.3862943611198906","true"
"43","A","2020/06/23 19:33:30.569","2020/06/23 19:33:30.569","-4.852030263919617","true"
"43","F","2020/06/23 19:34:30.569","2020/06/23 19:34:30.569","-4.852030263919617","true"
"43","F","2020/06/23 19:35:30.569","2020/06/23 19:35:30.569","-4.852030263919617","true"
"43","D","2020/06/23 19:36:30.569","2020/06/23 19:36:30.569","-4.852030263919617","true"
"43","D","2020/06/23 19:38:30.569","2020/06/23 19:38:30.569","-4.852030263919617","true"
"43","B","2020/06/23 19:40:30.569","2020/06/23 19:40:30.569","-4.852030263919617","true"
"43","E","2020/06/23 19:41:30.569","2020/06/23 19:41:30.569","-4.852030263919617","true"
"43","C","2020/06/23 19:42:30.569","2020/06/23 19:42:30.569","-4.852030263919617","true"
"43","A","2020/06/23 19:43:30.569","2020/06/23 19:43:30.569","-4.852030263919617","true"
"43","F","2020/06/23 19:45:30.569","2020/06/23 19:45:30.569","-4.852030263919617","true"
"44","D","2020/06/23 19:34:14.425","2020/06/23 19:34:14.425","-3.4657359027997265","true"
"44","C","2020/06/23 19:35:14.425","2020/06/23 19:35:14.425","-3.4657359027997265","true"
"44","A","2020/06/23 19:36:14.425","2020/06/23 19:36:14.425","-3.4657359027997265","true"
"44","F","2020/06/23 19:37:14.425","2020/06/23 19:37:14.425","-3.4657359027997265","true"
"44","A","2020/06/23 19:39:14.425","2020/06/23 19:39:14.425","-3.4657359027997265","true"
"44","F","2020/06/23 19:40:14.425","2020/06/23 19:40:14.425","-3.4657359027997265","true"
"45","F","2020/06/23 19:35:47.105","2020/06/23 19:35:47.105","-5.545177444479562","true"
"45","A","2020/06/23 19:36:47.105","2020/06/23 19:36:47.105","-5.545177444479562","true"
"45","F","2020/06/23 19:37:47.105","2020/06/23 19:37:47.105","-5.545177444479562","true"
"45","D","2020/06/23 19:38:47.105","2020/06/23 19:38:47.105","-5.545177444479562","true"
"45","D","2020/06/23 19:40:47.105","2020/06/23 19:40:47.105","-5.545177444479562","true"
"45","B","2020/06/23 19:42:47.105","2020/06/23 19:42:47.105","-5.545177444479562","true"
"45","E","2020/06/23 19:43:47.105","2020/06/23 19:43:47.105","-5.545177444479562","true"
"45","C","2020/06/23 19:44:47.105","2020/06/23 19:44:47.105","-5.545177444479562","true"
"45","A","2020/06/23 19:45:47.105","2020/06/23 19:45:47.105","-5.545177444479562","true"
"45","F","2020/06/23 19:47:47.105","2020/06/23 19:47:47.105","-5.545177444479562","true"
"46","F","2020/06/23 19:36:19.771","2020/06/23 19:36:19.771","-4.852030263919617","true"
"46","D","2020/06/23 19:37:19.771","2020/06/23 19:37:19.771","-4.852030263919617","true"
"46","A","2020/06/23 19:38:19.771","2020/06/23 19:38:19.771","-4.852030263919617","true"
"46","F","2020/06/23 19:39:19.771","2020/06/23 19:39:19.771","-4.852030263919617","true"
"46","D","2020/06/23 19:41:19.771","2020/06/23 19:41:19.771","-4.852030263919617","true"
"46","E","2020/06/23 19:43:19.771","2020/06/23 19:43:19.771","-4.852030263919617","true"
"46","B","2020/06/23 19:44:19.771","2020/06/23 19:44:19.771","-4.852030263919617","true"
"46","A","2020/06/23 19:45:19.771","2020/06/23 19:45:19.771","-4.852030263919617","true"
"46","C","2020/06/23 19:46:19.771","2020/06/23 19:46:19.771","-4.852030263919617","true"
"46","F","2020/06/23 19:48:19.771","2020/06/23 19:48:19.771","-4.852030263919617","true"
"47","D","2020/06/23 19:36:48.606","2020/06/23 19:36:48.606","-3.4657359027997265","true"
"47","C","2020/06/23 19:37:48.606","2020/06/23 19:37:48.606","-3.4657359027997265","true"
"47","A","2020/06/23 19:38:48.606","2020/06/23 19:38:48.606","-3.4657359027997265","true"
"47","F","2020/06/23 19:39:48.606","2020/06/23 19:39:48.606","-3.4657359027997265","true"
"47","A","2020/06/23 19:41:48.606","2020/06/23 19:41:48.606","-3.4657359027997265","true"
"47","F","2020/06/23 19:42:48.606","2020/06/23 19:42:48.606","-3.4657359027997265","true"
"48","D","2020/06/23 19:39:24.975","2020/06/23 19:39:24.975","-3.4657359027997265","true"
"48","A","2020/06/23 19:41:24.975","2020/06/23 19:41:24.975","-3.4657359027997265","true"
"48","F","2020/06/23 19:42:24.975","2020/06/23 19:42:24.975","-3.4657359027997265","true"
"48","A","2020/06/23 19:44:24.975","2020/06/23 19:44:24.975","-3.4657359027997265","true"
"48","F","2020/06/23 19:45:24.975","2020/06/23 19:45:24.975","-3.4657359027997265","true"
"49","D","2020/06/23 19:39:44.126","2020/06/23 19:39:44.126","-1.3862943611198906","true"
"49","E","2020/06/23 19:40:44.126","2020/06/23 19:40:44.126","-1.3862943611198906","true"
"49","A","2020/06/23 19:41:44.126","2020/06/23 19:41:44.126","-1.3862943611198906","true"
"49","D","2020/06/23 19:42:44.126","2020/06/23 19:42:44.126","-1.3862943611198906","true"
"49","B","2020/06/23 19:43:44.126","2020/06/23 19:43:44.126","-1.3862943611198906","true"
"50","A","2020/06/23 19:41:00.259","2020/06/23 19:41:00.259","-4.852030263919617","true"
"50","F","2020/06/23 19:42:00.259","2020/06/23 19:42:00.259","-4.852030263919617","true"
"50","F","2020/06/23 19:43:00.259","2020/06/23 19:43:00.259","-4.852030263919617","true"
"50","D","2020/06/23 19:44:00.259","2020/06/23 19:44:00.259","-4.852030263919617","true"
"50","D","2020/06/23 19:46:00.259","2020/06/23 19:46:00.259","-4.852030263919617","true"
"50","E","2020/06/23 19:48:00.259","2020/06/23 19:48:00.259","-4.852030263919617","true"
"50","A","2020/06/23 19:49:00.259","2020/06/23 19:49:00.259","-4.852030263919617","true"
"50","B","2020/06/23 19:50:00.259","2020/06/23 19:50:00.259","-4.852030263919617","true"
"50","C","2020/06/23 19:51:00.259","2020/06/23 19:51:00.259","-4.852030263919617","true"
"50","F","2020/06/23 19:53:00.259","2020/06/23 19:53:00.259","-4.852030263919617","true"
"51","D","2020/06/23 19:40:37.160","2020/06/23 19:40:37.160","-1.3862943611198906","true"
"51","E","2020/06/23 19:41:37.160","2020/06/23 19:41:37.160","-1.3862943611198906","true"
"51","A","2020/06/23 19:42:37.160","2020/06/23 19:42:37.160","-1.3862943611198906","true"
"51","D","2020/06/23 19:43:37.160","2020/06/23 19:43:37.160","-1.3862943611198906","true"
"51","B","2020/06/23 19:44:37.160","2020/06/23 19:44:37.160","-1.3862943611198906","true"
"52","D","2020/06/23 19:42:38.722","2020/06/23 19:42:38.722","-1.3862943611198906","true"
"52","E","2020/06/23 19:43:38.722","2020/06/23 19:43:38.722","-1.3862943611198906","true"
"52","A","2020/06/23 19:44:38.722","2020/06/23 19:44:38.722","-1.3862943611198906","true"
"52","D","2020/06/23 19:45:38.722","2020/06/23 19:45:38.722","-1.3862943611198906","true"
"52","B","2020/06/23 19:46:38.722","2020/06/23 19:46:38.722","-1.3862943611198906","true"
"53","D","2020/06/23 19:43:04.429","2020/06/23 19:43:04.429","-1.3862943611198906","true"
